name	url	imageSrc
frozen-beets	https://www.instacart.com/store/items/item_1472483549	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_25b71527-31f2-4147-b2c5-b8a97950b8d3.png
frozen-broccoli	https://www.instacart.com/store/items/item_1472483565	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ccc1fe9e-c52a-4f76-a459-5befb98ac58c.png
frozen-fries	https://www.instacart.com/store/items/item_2546191494	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_50d967b2-fb2d-42d8-85a0-ce47d5df273f.png
frozen-okra	https://www.instacart.com/store/items/item_1472483875	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b9cdc014-af19-462d-80be-dfe1a20ee589.png
frozen-peas	https://www.instacart.com/store/items/item_1472965372	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8ed68b92-59a4-4f9b-919e-9db3438507d7.jpg
frozen-root-veg-fries	https://www.instacart.com/store/items/item_2044088931	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d7871ad7-334c-4d57-9fb4-83619ac8b1ef.png
frozen-shiitake	https://www.instacart.com/store/items/item_1472483627	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f48e6de-6c8a-4144-bf9d-d6aebdcf4c2e.jpg
frozen-sweet-potatoes	https://www.instacart.com/store/items/item_1472478444	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c75655d6-dc0a-4475-9395-c9ce0948ec3f.png
frozen-hash-browns	https://www.instacart.com/store/items/item_1472471346	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_903941fa-352c-466e-8d62-2b2eb901c7b9.jpg
hot-pocket	https://www.instacart.com/store/items/item_1472969969	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b10e672e-2421-4cdb-b57b-ef8502e2e6cd.png
ice-cream-sandwich	https://www.instacart.com/store/items/item_1472481446	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_286d0c43-6489-4c11-a17f-0224a9900e11.png
ice-cream-vanilla	https://www.instacart.com/store/items/item_2838446377	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8385dad1-d905-40af-87e2-2ef1139243a7.jpg
quorn-nuggets	https://www.instacart.com/store/items/item_1472955960	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1bfd497d-e491-4fbe-b2c3-2af880003146.png
sausage	https://www.instacart.com/store/items/item_1472501635	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_db504dab-9992-45bf-a1ac-7bd8cec29b77.jpg
tofu	https://www.instacart.com/store/items/item_1472465922	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9710a4c5-6e71-49ba-bdaf-1c0255e79352.png
