name	url	imageSrc
butter	https://www.instacart.com/store/items/item_1472489217	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9564a8ca-7158-44a1-8479-93a0fd84eaf1.jpg
cheese-babybel	https://www.instacart.com/store/items/item_1472483914	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_46943090-48b3-45bb-907d-72ee9b27b0a1.png
cheese-brick	https://www.instacart.com/store/items/item_1472466903	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e360163d-b228-423a-9f5c-20b32ac76572.jpg
cheese-brie	https://www.instacart.com/store/items/item_1472479994	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aed236b9-a910-4fea-a30e-ddbade5fd1fc.png
chevre	https://www.instacart.com/store/items/item_2202857476	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_acbfd3c1-5174-4c86-81ef-882d7ab49337.jpg
cream-cheese	https://www.instacart.com/store/items/item_1472481322	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5e710718-202f-46d1-b96d-c9dded689821.jpg
deli-slices	https://www.instacart.com/store/items/item_1472488004	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9c3771a9-c18b-4888-abce-97190d7334a5.png
eggs	https://www.instacart.com/store/items/item_15799225414	https://www.instacart.com/image-server/514x514/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12bdd1ed-8b6b-4e35-8269-49e429229d04.jpg
fluff	https://www.instacart.com/store/items/item_1472472215	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8e91208c-e6f0-40f6-bc61-6434bdec8aa4.jpg
ginger	https://www.instacart.com/store/items/item_1472490914	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1c926f53-828b-49b0-8c44-1a7c334a022a.jpg
grapefruit-juice	https://www.instacart.com/store/items/item_1472479091	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_26cbb110-189d-4b88-83cf-16d0793b407e.png
hummus	https://www.instacart.com/store/items/item_1472496777	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c6abb64d-a410-4d3a-ac2d-569ee85edd2c.png
miso-paste	https://www.instacart.com/store/items/item_1472467692	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_51e71bc1-dfab-4c37-b542-d500a2f54460.png
oat-milk	https://www.instacart.com/store/items/item_1472467312	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_925ef4dc-a710-454f-8739-45ae317beedb.jpg
pickles	https://www.instacart.com/store/items/item_1472489630	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_249c34d2-7e19-4299-ae46-4463b6f7c266.png
salsa-fresh	https://www.instacart.com/store/items/item_1472501434	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2fc35e33-7c58-4814-acd1-8f47a721f870.png
sour-cream	https://www.instacart.com/store/items/item_1472491329	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_66848698-37e5-4233-ae51-586fd23ec674.jpg
yogurt	https://www.instacart.com/store/items/item_1472479571	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_59bf0c02-4eb5-4604-ab84-4193e396bed3.png
yogurt-lemon	https://www.instacart.com/store/items/item_1472493774	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_215d22dc-45e1-4532-ad69-d7238853d69a.png
yogurt-straw-rhub	https://www.instacart.com/store/items/item_1472517561	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_680836c6-3370-4d2f-ab33-2b8c32b0c55f.png
