name	url	imageSrc
bamboo-shoots	https://www.instacart.com/store/items/item_1472498197	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b5b1a08c-428d-437e-8a4d-91b25992eb71.jpg
beans-canned-black	https://www.instacart.com/store/items/item_1472488953	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_66acb48e-7b5d-4021-865e-02dc8839bc56.jpg
beans-canned-garbanzo	https://www.instacart.com/store/items/item_1472968618	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d1083fb8-6e75-468f-abad-3d6af0b4710a.jpeg
beans-canned-kidney	https://www.instacart.com/store/items/item_1472490620	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f3e976ae-023f-4d23-878a-40f106982213.jpeg
beans-dried-blackeyed-peas	https://www.instacart.com/store/items/item_1472497010	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_24158dda-586e-4b01-8e9b-00b045d4982f.jpg
bouillon	https://www.instacart.com/store/items/item_1472484924	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_14e0c28d-01a4-41b0-9487-bd67411c2a0c.png
bread-baguette	https://www.instacart.com/store/items/item_1472501625	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_adc25fbf-a717-49a2-a43e-3bd2b5ea4328.jpg
bread-english-muffins	https://www.instacart.com/store/items/item_1472467503	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e5309162-4fef-4d7d-808c-20baaccdda42.jpg
bread-sandwich	https://www.instacart.com/store/items/item_1472495176	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d2d4dd6a-de67-4e52-aa9d-2145ffdcf5f7.png
canned-diced-tomatoes	https://www.instacart.com/store/items/item_1472492126	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3ae464b3-fb8d-4e8a-9888-2cb7e9ad579c.png
