name	url	imageSrc
apples	https://www.instacart.com/store/items/item_3112215389	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b8b2d008-8730-4147-b632-76515cc5deda.jpeg
bananas	https://www.instacart.com/store/items/item_1472469426	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5f9d5261-727e-4bf5-8c84-099a76555bbf.png
broccoli	https://www.instacart.com/store/items/item_1472485929	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_365918e3-6c7a-49a0-a845-311a66ef8ba4.png
cauliflower	https://www.instacart.com/store/items/item_1472475400	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_532806d2-220c-426c-873a-9de92f17e100.png
baby-carrots	https://www.instacart.com/store/items/item_1472471090	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3ff481f2-cf2a-446e-aaf5-b214c3aefa86.png
cilantro	https://www.instacart.com/store/items/item_1472507556	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_09fef07c-b883-4237-84b7-7d5e48fa7cfb.jpg
collard-greens	https://www.instacart.com/store/items/item_1472477407	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2ade16d0-d87f-416e-a33b-680400576c45.jpg
cucumbers	https://www.instacart.com/store/items/item_1472476340	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_49c264e0-88af-4069-8de9-dce6ee2b5382.png
garlic	https://www.instacart.com/store/items/item_1472481911	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4d948b19-9b81-4049-8e95-2964d153fd6d.jpg
grapes	https://www.instacart.com/store/items/item_1490443013	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7ef2229a-247e-4c20-bf8a-fce0ac319ae7.png
green-cabbage	https://www.instacart.com/store/items/item_1472465696	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_edabb531-9863-4b1c-a7ef-3dccb33901e3.jpeg
jalapenos	https://www.instacart.com/store/items/item_108767308616	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8523bfd8-ea31-46ed-a3e4-50c4f012ee2e.jpg
kale	https://www.instacart.com/store/items/item_1472517759	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0b61163a-a5cc-4735-89b3-c82075dc9625.png
lemons	https://www.instacart.com/store/items/item_1472468818	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d741ad3e-ccd6-40f2-96cc-bbc86e37adb2.jpg
lettuce	https://www.instacart.com/store/items/item_1472467710	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1ef1d092-1962-4868-9cac-c0f5ab77ae66.jpg
limes	https://www.instacart.com/store/items/item_1472496178	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_775ba3df-bea3-4186-ac78-8903e2d0c565.jpg
mandarins	https://www.instacart.com/store/items/item_1472493245	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4419e07e-7098-41cd-a39d-9ba2619d154e.png
onions-green	https://www.instacart.com/store/items/item_1472483030	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_449fcd35-b105-4b5e-bcdf-dc26c23ce1ed.jpg
onions-red	https://www.instacart.com/store/items/item_1472473480	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7df35453-7ed0-4b31-b3fa-98a250fe49a3.jpg
onions-yellow	https://www.instacart.com/store/items/item_1472472482	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cd7ce28f-193a-4cbe-8ebb-891132bdb088.png
red-bell-pepper	https://www.instacart.com/store/items/item_1472483045	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d4b81f62-3d5d-4e1a-ada5-48d4b8347a73.png
sweet-potatoes	https://www.instacart.com/store/items/item_1472500425	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a7ce2418-6515-49d9-a97e-57cecb9b7096.png
